sigma,gain,specification,moment,mean,monte_carlo_se,mean_ci_low,mean_ci_high,paired_difference_from_re,paired_ci_low,paired_ci_high,paired_draws,rms_path_distance_from_re
2,0.002,RE,sigma_y,0.904987200014565,0.00138309385114314,0.902276336066324,0.907698063962806,0,0,0,5000,0
2,0.002,RE,sigma_c_over_y,0.831686936960217,2.2212951206113e-05,0.831643399575853,0.831730474344581,0,0,0,5000,0
2,0.002,RE,sigma_i_over_y,1.4961082908655,5.70554265639179e-05,1.49599646222943,1.49622011950156,0,0,0,5000,0
2,0.002,RE,sigma_h_over_y,0.306887213722195,2.99268981745646e-05,0.306828557001773,0.306945870442618,0,0,0,5000,0
2,0.002,RE,rho_dc,0.00990958346829432,0.00111090182280644,0.0077322158955937,0.0120869510409949,0,0,0,5000,0
2,0.002,RE,rho_dy,0.00125753195134946,0.00109764323621911,-0.000893848791639986,0.00340891269433892,0,0,0,5000,0
2,0.002,RE,rho_di,-0.00946840061852389,0.0010852397479701,-0.0115954705245453,-0.00734133071250249,0,0,0,5000,0
2,0.002,RE,rho_wage_fe,-0.00494976161140711,0.00109227855973992,-0.00709062758849736,-0.00280889563431686,0,0,0,5000,0
2,0.002,archive,sigma_y,0.903789699208195,0.00146442733544272,0.900919421630727,0.906659976785663,-0.00119750080637036,-0.00216714264285937,-0.000262073805583812,5000,0.2120353133881
2,0.002,archive,sigma_c_over_y,0.833525755133739,0.000358387092927618,0.832823316431601,0.834228193835877,0.00183881817352203,0.00117043178235078,0.00252976648936524,5000,0.2120353133881
2,0.002,archive,sigma_i_over_y,1.49072962965525,0.001065353886376,1.48864153603795,1.49281772327255,-0.00537866121024905,-0.00736096068581117,-0.00326607589542864,5000,0.2120353133881
2,0.002,archive,sigma_h_over_y,0.303558912596967,0.000656610426524619,0.302271956160979,0.304845869032956,-0.00332830112522812,-0.00453899793508371,-0.00209412905944098,5000,0.2120353133881
2,0.002,archive,rho_dc,0.0100028055043538,0.00111136332498103,0.00782453338739099,0.0121810776213166,9.32220360595087e-05,5.31917342574378e-05,0.000132659955984176,5000,0.2120353133881
2,0.002,archive,rho_dy,0.00220342238979815,0.00109840988172987,5.05390216076103e-05,0.00435630575798869,0.000945890438448691,0.000923584502222776,0.000969999910487918,5000,0.2120353133881
2,0.002,archive,rho_di,-0.00705407224505146,0.00108711281669485,-0.00918481336577336,-0.00492333112432956,0.00241432837347244,0.00235089834809491,0.00248070025770287,5000,0.2120353133881
2,0.002,archive,rho_wage_fe,0.000747895559368447,0.00109347646631311,-0.00139531831460524,0.00289110943334213,0.00569765717077556,0.0055341442512365,0.00586554565932339,5000,0.2120353133881
